endTime,artistName,trackName,msPlayed
2019-11-02 11:34:00-04:00,Generationals,TenTwentyTen,202613
2019-11-02 11:34:00-04:00,Argonaut & Wasp,Beast of Burden,11158
2019-11-02 11:38:00-04:00,The Rolling Stones,Gimme Shelter,270773
2019-11-02 11:42:00-04:00,Sure Sure,This Must Be The Place,219260
2019-11-02 11:45:00-04:00,Sturgill Simpson,Sing Along,174568
2019-11-02 11:47:00-04:00,Galactic,Going Straight Crazy (feat. Princess Shaw),1237
2019-11-02 11:47:00-04:00,Briston Maroney,Freakin' Out On the Interstate,1280
2019-11-02 11:47:00-04:00,Magic City Hippies,Franny,1130
2019-11-02 11:47:00-04:00,Pigeons Playing Ping Pong,F.U.,119071
2019-11-02 11:47:00-04:00,Samm Henshaw,Broke,960
2019-11-02 11:47:00-04:00,Coast Modern,Guru,1045
2019-11-02 11:47:00-04:00,Max Frost,Adderall,1237
2019-11-02 11:47:00-04:00,The Revivalists,Wish I Knew You,1301
2019-11-02 11:47:00-04:00,The Dip,Slow Sipper,938
2019-11-02 11:51:00-04:00,Dr. Dog,Where'd All the Time Go?,234800
2019-11-02 11:52:00-04:00,Your Smith,The Spot,34118
2019-11-02 11:54:00-04:00,Drug Cabin,Stoner,149480
2019-11-02 11:55:00-04:00,Cold War Kids,So Tied Up - Stint Remix,28494
2019-11-02 11:58:00-04:00,Coast Modern,Electric Feel,192729
2019-11-02 12:00:00-04:00,Still Woozy,Habit,153871
2019-11-02 12:07:00-04:00,Umphrey's McGee,Come as Your Kids,384543
2019-11-02 12:14:00-04:00,The Fritz,Stuck in Between,408693
2019-11-02 12:15:00-04:00,Felly,Maple,105927
2019-11-03 07:49:00-05:00,The Rolling Stones,Beast Of Burden - Remastered,113577
2019-11-03 07:52:00-05:00,Generationals,TenTwentyTen,202613
2019-11-03 07:55:00-05:00,Argonaut & Wasp,Beast of Burden,166049
2019-11-03 07:59:00-05:00,The Rolling Stones,Gimme Shelter,270773
2019-11-03 08:00:00-05:00,Sure Sure,This Must Be The Place,21843
2019-11-03 08:03:00-05:00,Sturgill Simpson,Sing Along,174568
2019-11-03 08:07:00-05:00,Pigeons Playing Ping Pong,F.U.,281000
2019-11-03 08:10:00-05:00,Magic City Hippies,Franny,195253
2019-11-03 08:14:00-05:00,Samm Henshaw,Broke,1990
2019-11-03 08:14:00-05:00,Coast Modern,Guru,204066
