danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_artist
0.556,0.448,4,-10.921,1,0.0387,0.191,0.00116,0.383,0.126,116.297,audio_features,51qWzz8tfP9AK7q4b9JxP8,spotify:track:51qWzz8tfP9AK7q4b9JxP8,https://api.spotify.com/v1/tracks/51qWzz8tfP9AK7q4b9JxP8,https://api.spotify.com/v1/audio-analysis/51qWzz8tfP9AK7q4b9JxP8,273667,4,Boston - Dermot Kennedy
0.631,0.3,5,-9.855,1,0.0276,0.699,0.0,0.0971,0.18,123.0,audio_features,3vIIzUU52AKFA19yHA8TCz,spotify:track:3vIIzUU52AKFA19yHA8TCz,https://api.spotify.com/v1/tracks/3vIIzUU52AKFA19yHA8TCz,https://api.spotify.com/v1/audio-analysis/3vIIzUU52AKFA19yHA8TCz,210480,4,droplets (feat. gabrielle aplin) - Lewis Watson
0.57,0.256,4,-12.865,1,0.0467,0.845,0.0759,0.156,0.0829,131.17,audio_features,11HXGSToW21uxNRl8kKBbu,spotify:track:11HXGSToW21uxNRl8kKBbu,https://api.spotify.com/v1/tracks/11HXGSToW21uxNRl8kKBbu,https://api.spotify.com/v1/audio-analysis/11HXGSToW21uxNRl8kKBbu,291761,4,"So Long, Honey - Caamp"
0.777,0.542,0,-8.287,1,0.0353,0.813,0.00013,0.0841,0.419,122.965,audio_features,5wlj1E4jrOyOzECMNU8A27,spotify:track:5wlj1E4jrOyOzECMNU8A27,https://api.spotify.com/v1/tracks/5wlj1E4jrOyOzECMNU8A27,https://api.spotify.com/v1/audio-analysis/5wlj1E4jrOyOzECMNU8A27,230244,4,Stay - RIZ LA VIE
0.762,0.487,6,-7.925,1,0.17,0.282,0.000612,0.173,0.872,92.062,audio_features,7p4BkstaNoWwESXmCNP7WD,spotify:track:7p4BkstaNoWwESXmCNP7WD,https://api.spotify.com/v1/tracks/7p4BkstaNoWwESXmCNP7WD,https://api.spotify.com/v1/audio-analysis/7p4BkstaNoWwESXmCNP7WD,191662,4,Don't Look Back - Blueprint
0.732,0.703,1,-6.159,0,0.0584,0.215,0.34,0.202,0.725,113.926,audio_features,59s5vTB8LNV4tyZPp9HM3f,spotify:track:59s5vTB8LNV4tyZPp9HM3f,https://api.spotify.com/v1/tracks/59s5vTB8LNV4tyZPp9HM3f,https://api.spotify.com/v1/audio-analysis/59s5vTB8LNV4tyZPp9HM3f,290422,4,GotItBad - St. Paul & The Broken Bones
0.439,0.703,1,-6.55,1,0.427,0.0606,0.000162,0.169,0.844,75.672,audio_features,45SFJHmoCW15h50fsm2TDh,spotify:track:45SFJHmoCW15h50fsm2TDh,https://api.spotify.com/v1/tracks/45SFJHmoCW15h50fsm2TDh,https://api.spotify.com/v1/audio-analysis/45SFJHmoCW15h50fsm2TDh,204347,4,Hindsight - Terence Ryan
0.406,0.55,9,-7.025,0,0.166,0.185,3.67e-05,0.133,0.571,75.108,audio_features,3iDnfEHmYDrrB8FjBQIgVL,spotify:track:3iDnfEHmYDrrB8FjBQIgVL,https://api.spotify.com/v1/tracks/3iDnfEHmYDrrB8FjBQIgVL,https://api.spotify.com/v1/audio-analysis/3iDnfEHmYDrrB8FjBQIgVL,327691,4,In Motion - Jank Setup
0.813,0.497,10,-6.691,0,0.326,0.26,0.0,0.102,0.86,88.906,audio_features,1YsJwqe66K6wF6GZOkuMgV,spotify:track:1YsJwqe66K6wF6GZOkuMgV,https://api.spotify.com/v1/tracks/1YsJwqe66K6wF6GZOkuMgV,https://api.spotify.com/v1/audio-analysis/1YsJwqe66K6wF6GZOkuMgV,186067,4,The Wave - Commonminds
0.472,0.899,10,-5.676,0,0.0669,0.0668,0.000393,0.135,0.588,127.445,audio_features,03mFc6mLtJLBuqBqJZCOmx,spotify:track:03mFc6mLtJLBuqBqJZCOmx,https://api.spotify.com/v1/tracks/03mFc6mLtJLBuqBqJZCOmx,https://api.spotify.com/v1/audio-analysis/03mFc6mLtJLBuqBqJZCOmx,409653,4,Love Generator - Big Something
